Dataset,Accuracy,Precision,Recall,F1,AUC
tensorflow,0.5630872483221476,0.6357888348765707,0.7226430495238908,0.5406466351525288,0.7226430495238908
pytorch,0.6238410596026489,0.6055886366982189,0.740166751019274,0.5519425725621049,0.740166751019274
keras,0.5567164179104477,0.6284714074019563,0.6960773831718265,0.5368548677629296,0.6960773831718265
incubator-mxnet,0.6076923076923076,0.6137864795939155,0.7505451464432498,0.5478505671359362,0.7505451464432498
caffe,0.5224137931034483,0.5571217778085766,0.6233842140307179,0.4427580475510043,0.6233842140307179
