Dataset,Accuracy,Precision,Recall,F1,AUC
tensorflow,0.8942953020134228,0.8247938158612721,0.8102848504498871,0.8159092585951189,0.9285114172436353
pytorch,0.8788079470198676,0.7585410365295786,0.6558444959446109,0.6736521043191009,0.8422623316158557
keras,0.8582089552238805,0.8043026462203544,0.7273090174738007,0.7510395769061206,0.9035286933736814
incubator-mxnet,0.8855769230769232,0.7586065094998891,0.697430486621512,0.7165773328645749,0.8758244903843451
caffe,0.8534482758620691,0.6320763748067912,0.6097007187490381,0.6069910197260748,0.790491145176019
